target,split,model,feature_set,train_rows,test_rows,feature_count,prevalence,auc,average_precision,brier
sympathetic_activation,group_subject_cv,extra_trees,portable_base_shape,7672,9590,86,0.46830031282586027,0.66763974004971,0.6072570116293285,0.22787702564669496
sympathetic_activation,leave_dataset_out:catsa,extra_trees,portable_base_shape,7202,2388,86,0.5025125628140703,0.4566154601571269,0.46115709620528367,0.2759490612096123
sympathetic_activation,leave_dataset_out:painmonit,extra_trees,portable_base_shape,8605,985,86,0.7086294416243655,0.3937232311332528,0.6605108146622864,0.37063503794807734
sympathetic_activation,leave_dataset_out:painmonit_pmed,extra_trees,portable_base_shape,8393,1197,86,0.20300751879699247,0.4288074470930283,0.1681271439470645,0.3973198766120754
sympathetic_activation,leave_dataset_out:physiopain_watch,extra_trees,portable_base_shape,8390,1200,86,0.475,0.5575995544416597,0.5458058157187606,0.27008720483718374
sympathetic_activation,leave_dataset_out:rheumapain,extra_trees,portable_base_shape,8511,1079,86,0.09360518999073215,0.5897163335965498,0.10753521954899087,0.21274665028220888
sympathetic_activation,leave_dataset_out:silver_pain,extra_trees,portable_base_shape,8703,887,86,0.5388951521984217,0.42614909310390686,0.48357753816713916,0.28791008897028053
sympathetic_activation,leave_dataset_out:wesad,extra_trees,portable_base_shape,8276,1314,86,0.5030441400304414,0.6164079206177471,0.5736986390696657,0.2693138089710555
sympathetic_activation,group_subject_cv,logistic,aggressive_shape,7672,9590,542,0.46830031282586027,0.6799087923291616,0.6295576896531101,0.2374695736381285
sympathetic_activation,group_subject_cv,logistic,quality_only,7672,9590,27,0.46830031282586027,0.671654153570919,0.6054104559728064,0.22526171122803182
sympathetic_activation,leave_dataset_out:catsa,logistic,quality_only,7202,2388,27,0.5025125628140703,0.49142746913580243,0.5303419985887731,0.3291125460473459
sympathetic_activation,leave_dataset_out:painmonit,logistic,quality_only,8605,985,27,0.7086294416243655,0.47707985982847956,0.6983284690294649,0.31540930751404794
sympathetic_activation,leave_dataset_out:painmonit_pmed,logistic,quality_only,8393,1197,27,0.20300751879699247,0.6627671230513066,0.30106149441925,0.5638792886400686
sympathetic_activation,leave_dataset_out:physiopain_watch,logistic,quality_only,8390,1200,27,0.475,0.5,0.475,0.35640837304371414
sympathetic_activation,leave_dataset_out:rheumapain,logistic,quality_only,8511,1079,27,0.09360518999073215,0.4830782157970398,0.09040078335028782,0.23080369978262102
sympathetic_activation,leave_dataset_out:silver_pain,logistic,quality_only,8703,887,27,0.5388951521984217,0.44691102904318114,0.514613958250748,0.28323530476268866
sympathetic_activation,leave_dataset_out:wesad,logistic,quality_only,8276,1314,27,0.5030441400304414,0.4591307893511386,0.46802487571721113,0.4942327165616043
sympathetic_activation,group_subject_cv,extra_trees,quality_only,7672,9590,27,0.46830031282586027,0.7003544907688163,0.6328118280610338,0.2191409698123918
sympathetic_activation,leave_dataset_out:catsa,extra_trees,quality_only,7202,2388,27,0.5025125628140703,0.5435974326599327,0.5384438804371896,0.27871343960429906
sympathetic_activation,leave_dataset_out:painmonit,extra_trees,quality_only,8605,985,27,0.7086294416243655,0.5137201361780298,0.7131161264185438,0.4583180707116721
sympathetic_activation,leave_dataset_out:painmonit_pmed,extra_trees,quality_only,8393,1197,27,0.20300751879699247,0.4311368204915841,0.16808916450420552,0.29332878214976044
sympathetic_activation,leave_dataset_out:physiopain_watch,extra_trees,quality_only,8390,1200,27,0.475,0.5,0.475,0.35936035670065014
sympathetic_activation,leave_dataset_out:rheumapain,extra_trees,quality_only,8511,1079,27,0.09360518999073215,0.5009617526169795,0.09269826049167076,0.22998251322087374
sympathetic_activation,leave_dataset_out:silver_pain,extra_trees,quality_only,8703,887,27,0.5388951521984217,0.48069584965882706,0.5329317685602172,0.24980539638355453
sympathetic_activation,leave_dataset_out:wesad,extra_trees,quality_only,8276,1314,27,0.5030441400304414,0.5608862158361386,0.536666370053139,0.49014574850391013
sympathetic_activation,group_subject_cv,logistic,dataset_only,7672,9590,2,0.46830031282586027,0.6928995818225543,0.6796906311704219,0.20665496151207882
sympathetic_activation,leave_dataset_out:catsa,logistic,dataset_only,7202,2388,2,0.5025125628140703,0.5028058361391694,0.5042066714232023,0.25834856817247936
sympathetic_activation,leave_dataset_out:painmonit,logistic,dataset_only,8605,985,2,0.7086294416243655,0.5229201401715204,0.7196455863119975,0.2233938584923268
sympathetic_activation,leave_dataset_out:painmonit_pmed,logistic,dataset_only,8393,1197,2,0.20300751879699247,0.5006988120195667,0.20326244670394925,0.3169398065420758
sympathetic_activation,leave_dataset_out:physiopain_watch,logistic,dataset_only,8390,1200,2,0.475,0.5,0.475,0.2621112730072071
sympathetic_activation,leave_dataset_out:rheumapain,logistic,dataset_only,8511,1079,2,0.09360518999073215,0.5145072789487538,0.09628625147829145,0.3574362401640364
sympathetic_activation,leave_dataset_out:silver_pain,logistic,dataset_only,8703,887,2,0.5388951521984217,0.5338257409131364,0.558078722036124,0.25017897384206633
sympathetic_activation,leave_dataset_out:wesad,logistic,dataset_only,8276,1314,2,0.5030441400304414,0.5021036389710704,0.5041040783960066,0.25725675416439453
parasympathetic_recovery_proxy,group_subject_cv,logistic,portable_base_shape,4641,5802,86,0.1761461564977594,0.7785464549779332,0.3545120901339719,0.1978304535725318
parasympathetic_recovery_proxy,leave_dataset_out:catsa,logistic,portable_base_shape,4977,825,86,0.36484848484848487,0.6686997540006594,0.543995598681116,0.2321719312175551
parasympathetic_recovery_proxy,leave_dataset_out:painmonit,logistic,portable_base_shape,4887,915,86,0.06775956284153005,0.6144537306659608,0.09377683815762138,0.1791149499229534
parasympathetic_recovery_proxy,leave_dataset_out:physiopain_watch,logistic,portable_base_shape,4874,928,86,0.31573275862068967,0.6691085969202656,0.4190891319819442,0.39983369302968147
parasympathetic_recovery_proxy,leave_dataset_out:rheumapain,logistic,portable_base_shape,5100,702,86,0.1794871794871795,0.8654927248677249,0.4927107242992355,0.11993400088890774
parasympathetic_recovery_proxy,leave_dataset_out:silver_pain,logistic,portable_base_shape,5136,666,86,0.15615615615615616,0.6234430604982207,0.21611873856319672,0.14813811476075095
parasympathetic_recovery_proxy,leave_dataset_out:wesad,logistic,portable_base_shape,4819,983,86,0.13835198372329605,0.669056878949927,0.24815986605182028,0.15998703737824477
parasympathetic_recovery_proxy,group_subject_cv,hist_gradient_boosting,portable_base_shape,4641,5802,86,0.1761461564977594,0.7568703993318541,0.3373045805169737,0.14700886163540947
parasympathetic_recovery_proxy,leave_dataset_out:catsa,hist_gradient_boosting,portable_base_shape,4977,825,86,0.36484848484848487,0.5665910070756511,0.4740818612401076,0.2594653047132298
